RollVelocity , FinalVel2
0 , -nan
-0.367427 , 0.0798852
-0.367427 , 0.0794063
-0.367427 , 0.0793105
-0.367427 , 0.0806515
-0.231861 , 0.146258
-0.231861 , 0.145771
-0.231861 , 0.145276
-0.231861 , 0.148268
-0.231861 , 0.204616
-0.0532807 , 0.326889
-0.0532807 , 0.326545
-0.0532807 , 0.326581
-0.0532807 , 0.327187
-0.0532807 , 0.290301
0.0778845 , 0.36625
0.0778845 , 0.365234
0.0778845 , 0.366477
0.0778845 , 0.431246
0.0778845 , 0.431204
0.209509 , 0.496157
0.209509 , 0.496504
0.209509 , 0.496504
0.209509 , 0.56575
0.209509 , 0.563132
0.333735 , 0.610961
0.333735 , 0.611205
0.333735 , 0.816002
0.333735 , 0.81638
0.333735 , 0.817341
0.434819 , 0.839893
0.434819 , 0.841103
0.434819 , 1.02668
0.434819 , 1.02804
0.434819 , 1.02769
0.62996 , 1.09204
0.62996 , 1.20858
0.62996 , 1.20892
0.62996 , 1.20971
0.62996 , 1.20955
0.822848 , 1.48147
0.822848 , 1.481
0.822848 , 1.48069
0.822848 , 1.48147
0.822848 , 1.48204
1.05667 , 1.47675
1.05667 , 1.47737
1.05667 , 1.47704
1.05667 , 1.47795
1.05667 , 1.71458
1.27952 , 1.73218
1.27952 , 1.73195
1.27952 , 1.7324
1.27952 , 1.77786
1.27952 , 1.77729
1.45444 , 1.7464
1.45444 , 1.7468
1.45444 , 1.7472
1.45444 , 1.7548
1.45444 , 1.7541
1.62144 , 1.69386
1.62144 , 1.6939
1.62144 , 1.69396
1.62144 , 1.4534
1.62144 , 1.45362
1.64822 , 1.31528
1.64822 , 1.31501
1.64822 , -1.30987
1.64822 , -1.31254
1.64822 , -1.31191
1.57452 , -1.52653
1.57452 , -0.368866
1.57452 , -0.373493
1.57452 , -0.372568
1.57452 , -0.372522
0.322843 , -1.21949
0.322843 , -0.755636
0.322843 , -0.756509
0.322843 , -0.755328
0.322843 , -0.756817
-0.0533615 , -0.811279
-0.0533615 , -0.817582
-0.0533615 , -0.806584
-0.0533615 , -0.811803
-0.0533615 , -0.812724
-0.489439 , -0.973248
-0.489439 , -0.973479
-0.489439 , -0.973583
-0.489439 , -0.975035
-0.489439 , -1.29489
-0.618198 , -1.31801
-0.618198 , -1.31628
-0.618198 , -1.31698
-0.618198 , -1.31656
-0.618198 , -0.822542
-0.957912 , -0.951695
-0.957912 , -0.951693
-0.957912 , -0.951698
-0.957912 , -1.02525
-0.957912 , -1.02518
-0.967561 , -0.93508
-0.967561 , -0.934939
-0.967561 , -0.964498
-0.967561 , -0.964484
-0.967561 , -0.964486
-0.98834 , -0.882037
-0.98834 , -0.882966
-0.98834 , -0.894629
-0.98834 , -0.894491
-0.98834 , -0.894367
-0.939432 , -0.76946
-0.939432 , -0.774406
-0.939432 , -0.77417
-0.939432 , -0.774387
-0.939432 , -0.774324
-0.90286 , -0.657972
-0.90286 , -0.661148
-0.90286 , -0.660588
-0.90286 , -0.660784
-0.90286 , -0.659958
-0.828971 , -0.533367
-0.828971 , -0.532922
-0.828971 , -0.533198
-0.828971 , -0.53319
-0.828971 , -0.532358
-0.698168 , -0.378237
-0.698168 , -0.377625
-0.698168 , -0.377748
-0.698168 , -0.377687
-0.698168 , -0.377366
-0.602034 , -0.257491
-0.602034 , -0.257179
-0.602034 , -0.257245
-0.602034 , -0.256973
-0.602034 , -0.257334
-0.423794 , -0.0994582
-0.423794 , -0.0996283
-0.423794 , -0.0994892
-0.423794 , -0.0994582
-0.423794 , -0.0997789
-0.365057 , -0.0251707
-0.365057 , -0.0252841
-0.365057 , -0.0242876
-0.365057 , -0.0258346
-0.365057 , -0.0253566
-0.182528 , 0.111053
-0.182528 , 0.111396
-0.182528 , 0.11202
-0.182528 , 0.110693
-0.182528 , 0.111309
-0.0912641 , 0.179626
-0.0912641 , 0.179904
-0.0912641 , 0.179115
-0.0912641 , 0.179761
-0.0912641 , 0.179302
0.0143243 , 0.246359
0.0143243 , 0.247283
0.0143243 , 0.24606
0.0143243 , 0.246381
0.0143243 , 0.246265
0.114915 , 0.300339
0.114915 , 0.300008
0.114915 , 0.300692
0.114915 , 0.300007
0.114915 , 0.300206
0.195029 , 0.332957
0.195029 , 0.332845
0.195029 , 0.332829
0.195029 , 0.332957
0.195029 , 0.333187
0.251699 , 0.344714
0.251699 , 0.344668
0.251699 , 0.344883
0.251699 , 0.344685
0.251699 , 0.345087
0.294777 , 0.343456
0.294777 , 0.343555
0.294777 , 0.34352
0.294777 , 0.343653
0.294777 , 0.343496
0.319812 , 0.328826
